title,storage,Ram,Front Camera,Battery,Resolutions,Rating,Inches,price in EGY
x7a,128,4,8,5000,720 x 1600,4.3,6.8,7666
X8A,128,8,16,4000,1080 x 2388,,6.7,11499
iPhone 13,128,4,12,3000,1170 x 2532,4.4,6.1,31999
Galaxy A14,64,4,8,4000,1080 x 2400,,6.6,5540
Y27,128,6,8,4000,1080 x 2388,,6.6,7790
Galaxy A24,128,4,13,4000,1080 x 2340,,6.5,7099
Galaxy A14,128,4,13,4000,1080 x 2408,,6.6,5899
iPhone 13,128,4,12,3000,1170 x 2532,4.4,6.1,31999
iphone 14,128,6,12,3000,1170x2532,,6.1,35549
Y27,128,6,8,4000,1080 x 2388,,6.6,7790
Galaxy A24,128,6,13,4000,1080 x 2340,,6.5,8099
Galaxy A24,128,8,13,4000,1080 x 2340,,6.5,8699
iPhone 13,128,4,12,3000,1170 x 2532,4.4,6.1,31999
Galaxy A34,128,8,13,4000,1080 x 2340,,6.6,11499
Galaxy A24,128,8,13,4000,1080 x 2340,5,6.5,8699
